Assembly	k44_M05964-contigs	k44_M07572-contigs	k44_M10540-contigs	k44_M16180-contigs	k77_M05964-contigs	k77_M07572-contigs	k77_M10540-contigs	k77_M16180-contigs	k127_M05964-contigs	k127_M07572-contigs	k127_M10540-contigs	k127_M16180-contigs	k99_M05964-contigs	k99_M07572-contigs	k99_M10540-contigs	k99_M16180-contigs
Genome fraction (%)	94.824	88.648	55.967	89.311	94.727	89.067	57.300	89.445	95.355	89.165	56.669	90.234	95.134	89.044	56.433	90.025
Duplication ratio	1.038	1.094	1.375	1.078	1.074	1.129	1.450	1.096	1.117	1.155	1.483	1.120	1.075	1.139	1.465	1.121
# N's per 100 kbp	8.29	8.32	0.05	1.45	1.19	0.49	0.00	0.80	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.05
# mismatches per 100 kbp	1301.43	2465.51	3631.83	2496.90	1305.21	2462.96	3672.67	2499.21	1303.37	2448.10	3656.52	2470.84	1301.25	2446.92	3659.47	2473.44
# indels per 100 kbp	60.03	84.87	114.91	91.59	59.33	87.19	116.57	92.19	61.08	85.18	116.12	92.30	59.14	84.92	113.77	91.53
Largest alignment	427914	113400	52580	119011	329581	113381	52580	151223	427942	113381	52580	150238	427942	113381	69362	151223
NA50	74224	33470	6313	38993	98409	35233	6980	44375	100032	41216	6604	51788	100032	38868	6723	46341
NGA50	97979	35233	6604	38993	98409	38868	7559	44375	100032	46032	6980	52135	100032	45124	7559	46347
NA75	39961	11142	-	16610	40653	12836	-	16610	41727	11217	-	19207	41819	11189	-	19061
NGA75	39961	18784	-	19035	40653	19189	-	18809	50104	25482	-	24859	45914	22347	-	19996
LA50	6	19	56	14	6	17	52	12	5	16	54	12	5	16	51	12
LGA50	5	16	54	14	6	14	50	12	5	14	52	11	5	14	49	11
LA75	14	43	-	33	13	40	-	29	13	37	-	26	12	38	-	28
LGA75	14	34	-	31	13	31	-	27	11	27	-	23	11	28	-	25
